日付,コード,市場・商品区分,33業種区分,銘柄名称,現在値,出来高,売買代金,時価総額,逆日歩,信用倍率,貸借倍率,決算発表日,PER,PBR,配当,配当落日,中配落日,権利落日,四季報,株探,ミンカブ,株予報,ヤフー
20231229.0,3991,グロース（内国株式）,情報・通信業,ウォンテッドリー,1408.0,32300.0,44811.0,13372.0,0.0,2063,0.0,2024/1/12,13.37,4.24,20.0,2024/8/29,2024/2/28,2017/11/28,https://shikiho.toyokeizai.net/stocks/3991,https://kabutan.jp/stock/?code=3991,https://minkabu.jp/stock/3991,https://kabuyoho.jp/reportAnalyst?bcode=3991,https://finance.yahoo.co.jp/quote/3991
20231229.0,3992,プライム（内国株式）,情報・通信業,ニーズウェル,744.0,140600.0,104699.0,15140.0,0.0,22.29,0.0,2024/2/8,15.76,3.82,15.0,2024/9/27,2024/3/28,2023/5/30,https://shikiho.toyokeizai.net/stocks/3992,https://kabutan.jp/stock/?code=3992,https://minkabu.jp/stock/3992,https://kabuyoho.jp/reportAnalyst?bcode=3992,https://finance.yahoo.co.jp/quote/3992
20231229.0,3993,スタンダード（内国株式）,情報・通信業,ＰＫＳＨＡＴＥＣＨＮＯＬＯＧＹ,3425.0,303800.0,1036509.0,109421.0,0.0,4.37,1.31,-,70.61,3.69,0.0,2024/9/27,2024/3/28,2019/2/26,https://shikiho.toyokeizai.net/stocks/3993,https://kabutan.jp/stock/?code=3993,https://minkabu.jp/stock/3993,https://kabuyoho.jp/reportAnalyst?bcode=3993,https://finance.yahoo.co.jp/quote/3993
20231229.0,3994,プライム（内国株式）,情報・通信業,マネーフォワード,4496.0,1011500.0,4541844.0,243841.0,0.1,0.86,0.02,2024/1/12,0.0,8.07,0.0,2024/11/28,2024/5/30,2020/11/27,https://shikiho.toyokeizai.net/stocks/3994,https://kabutan.jp/stock/?code=3994,https://minkabu.jp/stock/3994,https://kabuyoho.jp/reportAnalyst?bcode=3994,https://finance.yahoo.co.jp/quote/3994
20231229.0,3995,グロース（内国株式）,情報・通信業,ＳＫＩＹＡＫＩ,376.0,294400.0,107287.0,4066.0,0.0,933.71,0.0,2023/12/13,20.32,3.05,5.0,2024/1/30,2024/7/30,2018/7/27,https://shikiho.toyokeizai.net/stocks/3995,https://kabutan.jp/stock/?code=3995,https://minkabu.jp/stock/3995,https://kabuyoho.jp/reportAnalyst?bcode=3995,https://finance.yahoo.co.jp/quote/3995
20231229.0,3996,スタンダード（内国株式）,情報・通信業,サインポスト,370.0,96700.0,35890.0,4731.0,0.05,1.9,0.33,2024/1/12,231.25,3.43,0.0,2024/2/28,2024/8/29,2018/2/26,https://shikiho.toyokeizai.net/stocks/3996,https://kabutan.jp/stock/?code=3996,https://minkabu.jp/stock/3996,https://kabuyoho.jp/reportAnalyst?bcode=3996,https://finance.yahoo.co.jp/quote/3996
20231229.0,3997,スタンダード（内国株式）,情報・通信業,トレードワークス,917.0,15700.0,14286.0,3156.0,0.0,41.33,0.0,2024/2/13,13.74,2.14,15.0,2024/12/27,2024/6/27,2018/3/28,https://shikiho.toyokeizai.net/stocks/3997,https://kabutan.jp/stock/?code=3997,https://minkabu.jp/stock/3997,https://kabuyoho.jp/reportAnalyst?bcode=3997,https://finance.yahoo.co.jp/quote/3997
20231229.0,3998,グロース（内国株式）,情報・通信業,すららネット,454.0,60200.0,27586.0,3039.0,0.0,31,0.36,2024/2/2,11.2,1.45,0.0,2024/12/27,2024/6/27,2020/6/29,https://shikiho.toyokeizai.net/stocks/3998,https://kabutan.jp/stock/?code=3998,https://minkabu.jp/stock/3998,https://kabuyoho.jp/reportAnalyst?bcode=3998,https://finance.yahoo.co.jp/quote/3998
20231229.0,4004,プライム（内国株式）,化学,レゾナック・ホールディング,2911.0,1746500.0,5112844.0,538247.0,0.0,3.55,0.49,2024/2/14,0.0,0.96,65.0,2024/12/27,2024/6/27,,https://shikiho.toyokeizai.net/stocks/4004,https://kabutan.jp/stock/?code=4004,https://minkabu.jp/stock/4004,https://kabuyoho.jp/reportAnalyst?bcode=4004,https://finance.yahoo.co.jp/quote/4004
20231229.0,4005,プライム（内国株式）,化学,住友化学,355.1,13379000.0,4768396.0,588205.0,0.0,14.24,0.0,2024/2/2,0.0,0.47,12.0,2024/3/28,2024/9/27,,https://shikiho.toyokeizai.net/stocks/4005,https://kabutan.jp/stock/?code=4005,https://minkabu.jp/stock/4005,https://kabuyoho.jp/reportAnalyst?bcode=4005,https://finance.yahoo.co.jp/quote/4005
